,lat,lon,temp,humidity,cloudiness,wind,temp_max
359,56.55,76.63,272.94,96,99,5.38,272.94
360,53.75,62.07,274.01,86,98,3.89,274.01
361,-13.85,136.42,305.15,62,75,2.6,305.15
362,-19.55,169.27,300.15,78,75,5.1,300.15
363,-28.47,-65.79,291.6,87,3,1.4,294.26
364,13.35,-15.75,295.34,34,45,2.25,295.34
365,12.35,29.25,300.99,12,5,8.86,300.99
366,70.37,31.11,268.2,93,99,14.55,268.2
367,20.34,-77.12,295.42,79,5,3.95,295.42
368,20.7,-105.2,296.15,88,90,1.5,296.15
369,27.92,96.17,306.54,19,48,2.12,306.54
370,35.03,10.91,286.15,87,75,2.1,286.15
371,44.49,43.95,283.13,52,45,4.3,283.13
372,69.45,-133.04,245.15,75,20,4.6,245.15
373,-8.93,125.41,295.74,50,32,2.43,295.74
374,60.38,92.63,271.25,91,80,5.01,271.25
375,53.03,51.72,278.74,77,92,2.36,278.74
376,72.79,-56.15,259.2,89,100,3.82,259.2
377,18.42,-64.62,298.35,78,1,3.6,298.71
378,43.32,145.57,278.15,41,75,4.1,278.15
379,-33.23,-54.38,293.49,92,98,2.77,293.49
380,-29.95,-71.34,287.15,87,39,2.6,287.15
381,41.02,-92.41,281.17,70,90,12.3,283.15
382,-18.03,-41.69,293.38,83,78,0.8,293.38
383,12.55,123.34,303.28,58,34,3.02,303.28
384,-34.65,-59.43,293.08,59,2,1.13,294.82
385,-7.12,-34.93,298.15,100,20,2.6,298.15
386,17.02,54.09,300.15,74,67,5.1,300.15
387,30.48,-115.95,286.94,73,86,6.54,286.94
388,9.79,-69.79,295.15,78,58,2.6,295.15
389,53.92,-122.75,270.81,92,90,2.6,271.48
390,-13.7,-76.22,294.2,83,92,1.0,294.26
391,67.45,153.68,271.82,92,98,7.68,271.82
392,8.0,98.25,305.15,62,40,3.6,305.15
393,32.68,109.02,278.71,37,100,1.34,278.71
394,-23.68,22.79,295.55,43,28,5.93,295.55
395,60.47,166.1,272.97,93,100,16.07,272.97
396,64.75,177.48,262.15,72,25,12.0,262.15
397,-45.42,167.72,287.01,56,7,0.9,287.01
398,71.97,102.5,254.45,91,100,1.0,254.45
399,68.53,146.42,262.22,96,100,6.04,262.22
400,-5.37,-49.12,298.15,100,38,1.25,298.15
401,60.34,102.28,270.7,92,100,6.24,270.7
402,-6.13,12.37,300.4,87,68,3.17,300.4
403,-4.5,37.9,296.8,67,100,1.21,296.8
404,38.85,-76.88,283.13,93,90,1.5,284.26
405,57.79,-152.41,272.15,80,90,7.2,272.15
406,-21.2,-175.2,299.15,83,75,3.6,299.15
407,52.37,-114.92,272.26,67,100,3.52,272.26
408,20.5,-10.07,290.0,31,0,4.08,290.0
409,31.34,69.45,289.37,20,1,2.94,289.37
